127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/js/calendar.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/css/calendar.css, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/js/web2py.js, HTTP/1.1, 200, 0.214000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/js/share.js, HTTP/1.1, 200, 0.119000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.172000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/images/favicon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/images/gplus-32.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-06 12:24:44, GET, /Tafari/default/user/login, HTTP/1.1, 200, 1.356000
127.0.0.1, 2018-05-06 12:24:54, GET, /Tafari/basics/hello, HTTP/1.1, 200, 0.830000
127.0.0.1, 2018-05-06 12:24:54, GET, /Tafari/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-05-06 12:24:54, GET, /Tafari/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-06 12:24:54, GET, /Tafari/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:24:54, GET, /Tafari/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:24:54, GET, /Tafari/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:24:54, GET, /Tafari/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-05-06 12:24:54, GET, /Tafari/static/js/web2py.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-05-06 12:24:54, GET, /Tafari/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-05-06 12:24:54, GET, /Tafari/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.081000
127.0.0.1, 2018-05-06 12:24:54, GET, /Tafari/static/js/share.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-05-06 12:24:56, GET, /admin/default/edit/Tafari/controllers/default.py, HTTP/1.1, 200, 0.274000
127.0.0.1, 2018-05-06 12:24:57, GET, /Tafari/static/images/twitter.png, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-05-06 12:24:57, GET, /Tafari/static/images/facebook.png, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-05-06 12:24:57, GET, /Tafari/static/images/gplus-32.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-05-06 12:24:57, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.121000
127.0.0.1, 2018-05-06 12:24:57, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.100000
127.0.0.1, 2018-05-06 12:24:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.537000
127.0.0.1, 2018-05-06 12:24:58, GET, /admin/default/edit/Tafari/controllers/default.py, HTTP/1.1, 200, 0.825000
127.0.0.1, 2018-05-06 12:24:59, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 1.591000
127.0.0.1, 2018-05-06 12:24:59, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.349000
127.0.0.1, 2018-05-06 12:25:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.052000
127.0.0.1, 2018-05-06 12:25:23, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.578000
127.0.0.1, 2018-05-06 12:25:34, GET, /Tafari/basics/hello, HTTP/1.1, 200, 0.206000
127.0.0.1, 2018-05-06 12:26:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066000
127.0.0.1, 2018-05-06 12:26:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.505000
127.0.0.1, 2018-05-06 12:27:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-05-06 12:27:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.637000
127.0.0.1, 2018-05-06 12:28:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.054000
127.0.0.1, 2018-05-06 12:28:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.448000
127.0.0.1, 2018-05-06 12:29:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.066000
127.0.0.1, 2018-05-06 12:29:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.520000
127.0.0.1, 2018-05-06 12:30:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-05-06 12:30:27, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 3.237000
127.0.0.1, 2018-05-06 12:31:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067000
127.0.0.1, 2018-05-06 12:31:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.438000
127.0.0.1, 2018-05-06 12:32:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-05-06 12:32:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.461000
127.0.0.1, 2018-05-06 12:33:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.051000
127.0.0.1, 2018-05-06 12:33:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.663000
127.0.0.1, 2018-05-06 12:34:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-05-06 12:34:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.677000
127.0.0.1, 2018-05-06 12:35:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-05-06 12:35:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.782000
127.0.0.1, 2018-05-06 12:36:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-05-06 12:36:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.433000
127.0.0.1, 2018-05-06 12:37:15, POST, /admin/default/edit/Tafari/controllers/basics.py, HTTP/1.1, 200, 0.087000
127.0.0.1, 2018-05-06 12:37:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.103000
127.0.0.1, 2018-05-06 12:37:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.457000
127.0.0.1, 2018-05-06 12:38:11, POST, /admin/default/edit/Tafari/controllers/basics.py, HTTP/1.1, 200, 0.092000
